Pattern #1 Target #3077 Run completed: 0 solutions; 18 fail nodes; 36 nodes; 0 milliseconds
Pattern #1 Target #3086 Run completed: 0 solutions; 22 fail nodes; 19 nodes; 0 milliseconds
Pattern #1 Target #3088 Run completed: 0 solutions; 30 fail nodes; 61 nodes; 0 milliseconds
Pattern #1 Target #3090 Run completed: 1 solutions; 37 fail nodes; 75 nodes; 0 milliseconds
Pattern #1 Target #3091 Run completed: 1 solutions; 37 fail nodes; 75 nodes; 1 milliseconds
Pattern #1 Target #3096 Run completed: 1 solutions; 4 fail nodes; 16 nodes; 0 milliseconds
Pattern #1 Target #3097 Run completed: 0 solutions; 24 fail nodes; 61 nodes; 0 milliseconds
Pattern #1 Target #3098 Run completed: 0 solutions; 2 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #3110 Run completed: 0 solutions; 3 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #3124 Run completed: 0 solutions; 9 fail nodes; 17 nodes; 0 milliseconds
Pattern #1 Target #3140 Run completed: 0 solutions; 20 fail nodes; 22 nodes; 0 milliseconds
Pattern #1 Target #3141 Run completed: 0 solutions; 21 fail nodes; 36 nodes; 0 milliseconds
Pattern #1 Target #3184 Run completed: 0 solutions; 8 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #3208 Run completed: 0 solutions; 40 fail nodes; 73 nodes; 0 milliseconds
Pattern #1 Target #3225 Run completed: 0 solutions; 2 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #3235 Run completed: 0 solutions; 6 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #3255 Run completed: 0 solutions; 26 fail nodes; 52 nodes; 0 milliseconds
Pattern #1 Target #3264 Run completed: 0 solutions; 24 fail nodes; 41 nodes; 1 milliseconds
Pattern #1 Target #3286 Run completed: 0 solutions; 28 fail nodes; 47 nodes; 0 milliseconds
Pattern #1 Target #3319 Run completed: 0 solutions; 8 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #3348 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #3360 Run completed: 0 solutions; 88 fail nodes; 139 nodes; 0 milliseconds
Pattern #1 Target #3364 Run completed: 0 solutions; 78 fail nodes; 168 nodes; 0 milliseconds
Pattern #1 Target #3389 Run completed: 1 solutions; 22 fail nodes; 42 nodes; 1 milliseconds
Pattern #1 Target #3390 Run completed: 1 solutions; 38 fail nodes; 69 nodes; 0 milliseconds
Pattern #1 Target #3415 Run completed: 0 solutions; 20 fail nodes; 41 nodes; 0 milliseconds
Pattern #1 Target #3416 Run completed: 0 solutions; 10 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #3417 Run completed: 0 solutions; 14 fail nodes; 21 nodes; 0 milliseconds
Pattern #1 Target #3420 Run completed: 0 solutions; 16 fail nodes; 33 nodes; 0 milliseconds
Pattern #1 Target #3422 Run completed: 0 solutions; 26 fail nodes; 51 nodes; 0 milliseconds
Pattern #1 Target #3427 Run completed: 0 solutions; 5 fail nodes; 6 nodes; 0 milliseconds
Pattern #1 Target #3428 Run completed: 0 solutions; 6 fail nodes; 6 nodes; 0 milliseconds
Pattern #1 Target #3429 Run completed: 0 solutions; 7 fail nodes; 8 nodes; 0 milliseconds
Pattern #1 Target #3430 Run completed: 0 solutions; 18 fail nodes; 31 nodes; 0 milliseconds
Pattern #1 Target #3469 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #3590 Run completed: 0 solutions; 37 fail nodes; 62 nodes; 0 milliseconds
Pattern #1 Target #3598 Run completed: 0 solutions; 51 fail nodes; 104 nodes; 0 milliseconds
Pattern #1 Target #3609 Run completed: 0 solutions; 6 fail nodes; 7 nodes; 0 milliseconds
Pattern #1 Target #3627 Run completed: 0 solutions; 22 fail nodes; 53 nodes; 0 milliseconds
Pattern #1 Target #3690 Run completed: 0 solutions; 12 fail nodes; 21 nodes; 0 milliseconds
Pattern #1 Target #3691 Run completed: 0 solutions; 40 fail nodes; 33 nodes; 0 milliseconds
Pattern #1 Target #3695 Run completed: 0 solutions; 12 fail nodes; 21 nodes; 0 milliseconds
Pattern #1 Target #3740 Run completed: 1 solutions; 3 fail nodes; 15 nodes; 0 milliseconds
Pattern #1 Target #3767 Run completed: 0 solutions; 6 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #3846 Run completed: 0 solutions; 8 fail nodes; 12 nodes; 0 milliseconds
Pattern #1 Target #3851 Run completed: 0 solutions; 9 fail nodes; 17 nodes; 1 milliseconds
Pattern #1 Target #3852 Run completed: 0 solutions; 11 fail nodes; 25 nodes; 0 milliseconds
Pattern #1 Target #3865 Run completed: 1 solutions; 6 fail nodes; 27 nodes; 0 milliseconds
Pattern #1 Target #3875 Run completed: 0 solutions; 38 fail nodes; 86 nodes; 0 milliseconds
Pattern #1 Target #3899 Run completed: 0 solutions; 16 fail nodes; 33 nodes; 0 milliseconds
Pattern #1 Target #3904 Run completed: 0 solutions; 9 fail nodes; 21 nodes; 0 milliseconds
Pattern #1 Target #3927 Run completed: 0 solutions; 11 fail nodes; 18 nodes; 0 milliseconds
Pattern #1 Target #3929 Run completed: 0 solutions; 12 fail nodes; 23 nodes; 0 milliseconds
Pattern #1 Target #3937 Run completed: 0 solutions; 20 fail nodes; 37 nodes; 0 milliseconds
Pattern #1 Target #3951 Run completed: 0 solutions; 25 fail nodes; 60 nodes; 0 milliseconds
Pattern #1 Target #4108 Run completed: 0 solutions; 20 fail nodes; 17 nodes; 0 milliseconds
Pattern #1 Target #4114 Run completed: 0 solutions; 9 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #4120 Run completed: 0 solutions; 6 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #4140 Run completed: 0 solutions; 12 fail nodes; 34 nodes; 0 milliseconds
Pattern #1 Target #4236 Run completed: 1 solutions; 2 fail nodes; 12 nodes; 0 milliseconds
Pattern #1 Target #4238 Run completed: 0 solutions; 51 fail nodes; 108 nodes; 0 milliseconds
Pattern #1 Target #4239 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #4265 Run completed: 0 solutions; 18 fail nodes; 55 nodes; 0 milliseconds
Pattern #1 Target #4280 Run completed: 0 solutions; 22 fail nodes; 65 nodes; 0 milliseconds
Pattern #1 Target #4300 Run completed: 1 solutions; 2 fail nodes; 13 nodes; 0 milliseconds
Pattern #1 Target #4305 Run completed: 0 solutions; 44 fail nodes; 113 nodes; 0 milliseconds
Pattern #1 Target #4318 Run completed: 1 solutions; 37 fail nodes; 75 nodes; 1 milliseconds
Pattern #1 Target #4323 Run completed: 0 solutions; 26 fail nodes; 52 nodes; 0 milliseconds
Pattern #1 Target #4367 Run completed: 0 solutions; 23 fail nodes; 42 nodes; 0 milliseconds
Pattern #1 Target #4375 Run completed: 0 solutions; 36 fail nodes; 71 nodes; 0 milliseconds
Pattern #1 Target #4416 Run completed: 0 solutions; 54 fail nodes; 123 nodes; 0 milliseconds
Pattern #1 Target #4419 Run completed: 0 solutions; 4 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #4429 Run completed: 0 solutions; 32 fail nodes; 45 nodes; 0 milliseconds
Pattern #1 Target #4436 Run completed: 0 solutions; 8 fail nodes; 5 nodes; 0 milliseconds
Pattern #1 Target #4438 Run completed: 0 solutions; 2 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #4447 Run completed: 0 solutions; 12 fail nodes; 25 nodes; 0 milliseconds
Pattern #1 Target #4462 Run completed: 0 solutions; 24 fail nodes; 69 nodes; 0 milliseconds
Pattern #1 Target #4479 Run completed: 0 solutions; 10 fail nodes; 5 nodes; 0 milliseconds
Pattern #1 Target #4492 Run completed: 0 solutions; 38 fail nodes; 73 nodes; 0 milliseconds
Pattern #1 Target #4493 Run completed: 0 solutions; 36 fail nodes; 69 nodes; 0 milliseconds
Pattern #1 Target #4500 Run completed: 0 solutions; 84 fail nodes; 178 nodes; 0 milliseconds
Pattern #1 Target #4516 Run completed: 0 solutions; 13 fail nodes; 32 nodes; 0 milliseconds
Pattern #1 Target #4559 Run completed: 0 solutions; 73 fail nodes; 71 nodes; 0 milliseconds
Pattern #1 Target #4560 Run completed: 0 solutions; 12 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #4566 Run completed: 0 solutions; 16 fail nodes; 33 nodes; 1 milliseconds
Pattern #1 Target #4589 Run completed: 1 solutions; 4 fail nodes; 15 nodes; 0 milliseconds
Pattern #1 Target #4595 Run completed: 0 solutions; 1 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #4599 Run completed: 0 solutions; 6 fail nodes; 8 nodes; 0 milliseconds
Pattern #1 Target #4645 Run completed: 0 solutions; 2 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #4646 Run completed: 0 solutions; 4 fail nodes; 4 nodes; 0 milliseconds
Pattern #1 Target #4647 Run completed: 0 solutions; 6 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #4659 Run completed: 0 solutions; 16 fail nodes; 31 nodes; 0 milliseconds
fail 5: P#1 T#4660
Pattern #1 Target #4660 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #4726 Run completed: 1 solutions; 3 fail nodes; 15 nodes; 0 milliseconds
Pattern #1 Target #4728 Run completed: 0 solutions; 2 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #4737 Run completed: 0 solutions; 5 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #4744 Run completed: 0 solutions; 19 fail nodes; 32 nodes; 0 milliseconds
Pattern #1 Target #4745 Run completed: 0 solutions; 12 fail nodes; 25 nodes; 0 milliseconds
Pattern #1 Target #4760 Run completed: 0 solutions; 21 fail nodes; 36 nodes; 0 milliseconds
Pattern #1 Target #4763 Run completed: 0 solutions; 38 fail nodes; 73 nodes; 1 milliseconds
Pattern #1 Target #4767 Run completed: 0 solutions; 6 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #4771 Run completed: 0 solutions; 8 fail nodes; 17 nodes; 0 milliseconds
Pattern #1 Target #4798 Run completed: 0 solutions; 8 fail nodes; 17 nodes; 0 milliseconds
Pattern #1 Target #4823 Run completed: 0 solutions; 18 fail nodes; 31 nodes; 0 milliseconds
Pattern #1 Target #4851 Run completed: 0 solutions; 4 fail nodes; 4 nodes; 0 milliseconds
Pattern #1 Target #4857 Run completed: 0 solutions; 5 fail nodes; 5 nodes; 0 milliseconds
Pattern #1 Target #4867 Run completed: 0 solutions; 10 fail nodes; 19 nodes; 0 milliseconds
Pattern #1 Target #4896 Run completed: 1 solutions; 4 fail nodes; 15 nodes; 0 milliseconds
Pattern #1 Target #4910 Run completed: 0 solutions; 14 fail nodes; 21 nodes; 0 milliseconds
Pattern #1 Target #4926 Run completed: 0 solutions; 5 fail nodes; 6 nodes; 0 milliseconds
Pattern #1 Target #4935 Run completed: 0 solutions; 12 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #4946 Run completed: 0 solutions; 11 fail nodes; 16 nodes; 0 milliseconds
Pattern #1 Target #4971 Run completed: 0 solutions; 26 fail nodes; 43 nodes; 0 milliseconds
Pattern #1 Target #5007 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #5011 Run completed: 1 solutions; 37 fail nodes; 75 nodes; 1 milliseconds
Pattern #1 Target #5015 Run completed: 1 solutions; 3 fail nodes; 13 nodes; 0 milliseconds
Pattern #1 Target #5034 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #5038 Run completed: 0 solutions; 31 fail nodes; 62 nodes; 0 milliseconds
Pattern #1 Target #5042 Run completed: 0 solutions; 27 fail nodes; 52 nodes; 0 milliseconds
Pattern #1 Target #5059 Run completed: 0 solutions; 39 fail nodes; 73 nodes; 0 milliseconds
Pattern #1 Target #5063 Run completed: 0 solutions; 50 fail nodes; 121 nodes; 0 milliseconds
Pattern #1 Target #5066 Run completed: 0 solutions; 18 fail nodes; 33 nodes; 0 milliseconds
Pattern #1 Target #5067 Run completed: 1 solutions; 6 fail nodes; 21 nodes; 0 milliseconds
